,Narratives,Synopsis
10,"a c150 called me on tower frequency, inbound to land from the southeast. a few minutes later, the pilot reported green laser light activity from the area west of the airport. the c150 was at 2,000 ft entering a left downwind for runway 19 at the time. aircraft landed without further incident. i don't know if there is much that can be done to prevent unauthorized laser events, but it was helpful finding the phraseology for the 5 minute announcements and the atis broadcast in the 7110.65. maybe if laser light events was indexed, it would be faster to find.","tower controller described a green laser event, noting references to same could be better indexed in the 7110.65."
11,"my wife and i were departing redlands municipal arpt on a vfr flt to catalina. prior to tkof i contacted norton gnd on 121.8 and stated my intentions. i was clred through norton's ata and told to contact norton twr. i called the twr on 119.45 and was told to rpt when airborne. we departed and began flying a hdg of 240 degs, clbing to 4500' msl. i contacted norton twr about 30 secs after tkof. i was given a squawk issued by ontario apch through norton twr and was told to rpt passing through 2700' msl. about 2 mins later norton twr informed me that a heavy mlt was going to depart rwy 6 for closed right tfc. i responded that i had mlt y in sight on the rwy. mlt y began its tkof and as soon as it had enough alt it began a clbing right turn. i had not expected him to turn so soon and it became apparent to me at this time that y and i were in immediate conflict. i called norton twr and told him that i was at y's 1 o'clock pos. i did not wait for a reply and immediately began a steep dive from about 2500' to around 2300. about 15 secs later mlt y passed directly over my acft. at no time that i was on norton's freq did i hear the twr advise the mil plt of my pos or direction of flt. the mlt was using uhf freqs and i was on vhf. the twr was using uhf/vhf simultaneously. i feel this incident occurred because the twr did not advise mlt y of my pos and also because 2 different freq bands were being used. had y been on vhf, they would have heard my xmissions. i feel that in the interest of safety, all acft operating in close prox under atc ctl be on the same radio band and freq. many times while talking to norton or ont apch i have heard mil acft using vhf freqs. it makes it much easier to understand their intentions when you can hear both sides of the conversation.",nmac between sma and mlt. operational error by mil twr fac.
12,"during the takeoff, above v1, the first officer's flight instruments became erratic and unreliable. the captain's flight instruments were erratic, but reliable (confirmed with the emergency back up instruments). numerous faults were alerted. an emergency was declared and a safe landing was made at the departure airport.",md11 captain experiences erratic flight instruments after v1 during takeoff. an emergency is declared and the flight returns to the departure airport.
13,"on takeoff, maximum thrust at near maximum takeoff weight, we experienced loud bangs, shaking and vibrations right at gear retraction. captain was the pilot not flying on this leg. there were no associated eicas warning/caution alerts (audible or visible) at this time. there had been a previous issue with the nose strut from a recent prior logbook entry, thus we all thought that the nose gear had some problem. with the noise and vibrations that were happening at the time, i elected to cycle the gear back down to see if extending the nose gear would help the situation. by this time in the climb out, we went into the clouds and we then saw red flashes from the left side of the aircraft and associated bangs. it was also at this time, i saw a red flashing engine #1 n1 indication on the upper eicas display. it read approximately 114.5 to best of my knowledge. we all saw the indication immediately and the relief pilot asked me to check the secondary engine instruments. we determined the engine was in distress and i got the b747-400 quick reference checklist and we secured the #1 engine using the severe damage checklist. the relief pilot took over talking to atc. the first officer had continued the climb out complying with the star and then was given a vector off of the departure after we declared the emergency and had stabilized the situation. in this situation, the cleanup of the aircraft took place after the engine was secured, which is nonstandard to our training. this happened without any of us questioning why we were securing the engine prior to cleanup. we talked about this decision later and agreed that the bangs and shaking were violent enough that the engine needed to be secured right away before any other damage to the aircraft could occur from engine #1's condition at that time. with the engine secured, we asked for vectors to a fuel dumping area and asked for a climb to a higher altitude. once we were given permission, we started dumping fuel. we dumped approximately 220,000 lbs of fuel to get to below maximum landing weight. we set up for an ils and i took over as the flying pilot at that time and briefed for an ils autoland. we coordinated for cfr to meet the aircraft after landing to inspect the aircraft and engine for damage. the landing was uneventful. we taxied off the runway and once cfr inspected the aircraft and we were cleared, we taxied back to the ramp and shutdown normally. we elected to leave the flaps extended so maintenance could inspect for any damage. of note; this aircraft had an engineering order placed on the #1 engine the previous day, from a borescope inspection that showed damage to the 1st and 2nd stages of the engine blades. because of this previous logbook write up, we had actually been concerned with the engine and i elected to do a 20 second 70% runup prior to brake release on takeoff to check engine vibration levels. they appeared normal at that time, so we proceeded with the takeoff.,just after raising the gear on a maximum gross weight, max mode takeoff, we began hearing loud reports that sounded like they were coming from the left nose area. we had issues with the nose strut leaking earlier and suspected the nose gear. the gear was lowered again. we then noticed the #1 engine n1 spiking and pulled up the engine instruments. the engine noise and vibrations got worse and worse rapidly. we were concerned about significant damage happening to the aircraft without prompt action. the decision was made to secure the engine prior to completing the clean up. after securing the engine, the crew completed the cleanup; we declared an emergency and asked for vectors and a climb to dump fuel. we contacted dispatch after formulating a plan and prepping for return. center was notified of our intentions and tower was called. we landed uneventfully after dumping was complete.,the day before the event the crew was scheduled to fly the same aircraft and the aircraft had several maintenance issues. first, the #1 engine had blade damage that was inspected by maintenance and general electric. the engine was deemed flyable but needing to be replaced within the next 10 flights. second, the nose strut was nearly bottomed out and had leaked a significant amount of fluid. the nose strut was serviced and passed the leak check but still looked low. the flight the previous day did not take place due to crew day based on a long chain of events. the next day the crew pre-flighted the same aircraft and briefed several precautions prior to takeoff; the nose strut could cause an issue on the takeoff roll and the #1 engine should be run-up to about 70% prior to takeoff to check for any engine vibrations. upon takeoff the landing gear was raised and simultaneously a loud bang and significant aircraft vibration took place. we received no warning indications. the crew immediately felt there was an issue with the nose gear either coming loose or a nose gear door flapping on the side of the airplane. we decided to lower the gear. at about 1,000 ft agl the relief pilot suggested to bring up the engine instruments on the lower eicas display and both the captain and relief pilot noticed the #1 n1 indicator had entered the red zone followed by a chugging feeling sensed by me, flying the aircraft. the #1 engine thrust lever was reduced and we felt the engine might be coming apart, possibly causing further damage to either the wing or the #2 engine. a decision was made to shut down the #1 engine and complete the shutdown checklist. after the crew felt confident that the #1 engine was under control we noticed that gear and flaps were still down. we cleaned up the aircraft, declared an emergency and were vectored away from the airport up to 15,000 ft to dump fuel. after fuel dumping the crew flew an uneventful 3 engine approach to an auto-land conducted by the captain.","b747-400 flight crew describe the events surrounding an engine failure and in flight shutdown shortly after takeoff. the noise and vibration coming from the number one engine sufficiently unnerved the three pilot flight crew so the engine was shutdown before the aircraft was cleaned up. the engine was scheduled for replacement due to blade damage, but was deemed serviceable by maintenance and the manufacturer."
14,"climbing out, we got an e-1 fire bell, eicas, and red handle. we verified that all three were present and proceeded to run memory items. when we retarded the thrust lever the messages and bell and light all went out. i determined that we should continue as if it were a fire so i declared an emergency and asked to go back to [departure airport]. we ran [the procedure] and returned on one engine. before returning i asked the first officer if he felt comfortable flying single engine and he did, so i managed atc, pa, flight attendant, and checklists. the first officer lost some altitude but that was after we declared an emergency and the area was cleared.    after we landed i pulled off the runway, had the fire crew visually inspect the aircraft and check with a heat gun to verify there was no presence of fire. after i determined it was safe i proceeded to the gate and let the passengers off. i wrote up the indications as well as an overweight landing. we flew the plane back to [a different station] and the same thing happened but only briefly. i wrote it up [again]. maintenance changed a module in the detection system [after the first occurrence] and i don't know what they did to it [after the second occurrence].     suggestions for this type of emergency; the checklist was way too long. for fire close to departing airport i would like to see a quick reference guide for runway distance and v speeds instead of having to do math on an already heavy workload.","an emb-145 captain reported experiencing a fire warning on #1 engine. they ran the procedure, shut down the engine, declared an emergency, and returned to departure airport where a module in the detection system was changed. same problem occurred on the next leg."
15,"on descent in to sun, passing approximately fl180, atis was obtained. i checked in with salt lake center, advised them we had the atis, and requested the rnav/gps 31 w menin transition. we were cleared down to 11,000. passing approximately 13,000 we were cleared for the rnav/gps 31 w, routing only, maintain 11,000. inside of oreye we were cleared to 9,000. we called the field in sight and were cleared for the visual approach to 31. atc advised us that a metroliner was not talking to him but said tower was, was off to our left and would follow us. we both looked at the tcas and saw the target at about our 10 o'clock position and 5 miles. descending through 10,000 we received a ta immediately followed by a ra. the pilot flying complied with the ra and i advised center we were in a \tcas climb.\ center asked us if we could continue the approach and i said no. we were then cleared back to 11,000 and to make a left 360 to re-acquire to field for a visual. rolling out on a 350 heading we called the field again and were cleared for a visual approach to 31. center switched us over to tower. we checked in with tower and were asked for our dme from the field which i reported as 12. he asked us to report a 5 mile final. he then asked the metroliner to report his dme, i believe it was 12 or 13. at this time the target on our tcas went back to amber. tower then initially used our call sign, he later corrected it to the metroliner, to instruct the metroliner to \slow to minimum approach speed for separation from the citation and report the traffic in sight.\ the metro said he didn't have the traffic in sight and was asked to execute a right 360. only then did the target on our tcas turn back to cyan. at no time during this event did we visually acquire the traffic. at approximately 6 dme the tower cleared us to land. on the roll out we were asked to expedite to b4 as the metroliner was on a two mile final. we cleared the runway at b4 and taxied to the ramp uneventfully. coordination between center and tower is critical. this is even more critical at mountainous airports located in tight valleys with little room to work with. this lack of communication put two aircraft at the same point, at the same time. without tcas this could have been a very bad situation.","corporate traffic inbound to sun described a tcas ra event with pattern traffic, the reporter noting the event was apparently triggered because of a breakdown of communication between the center (zlc) and sun tower."
16,"flt from frankfurt to philadelphia. omega nav sys seemed to be working very well, as verified by comparison to vor's in europe and other acft contrails on the nat track at the time. when in vor range of yay i tuned in and set obs to bearing 278 degs as per commercial chart ca (hi) 3 to use vor nav to hit our inbnd gateway. the vor showed us 13 mi right of course, so i corrected as per the vor. when radar idented by gander center we were 13 mi left of course and immediately corrected back. no other action was necessary or taken. omega nav's continued to work very well for the remainder of the trip. further investigation of the commercial chart ca (hi) 3 showed the yay vor with ident box and with a course line showing 093 deg r. the other end of the same course line, near the gateway-n53/00.0 w050/00.0 shows a bearing of 278 degs to yay. this is where the prob occurred. had i set in the yay 093 deg r (obs set 273 degs), no deviation from course would have occurred.",acr hvt deviated from clrnc route. track heading deviation apching oceanic gateway.
17,"after exiting runway 30l onto juliet we were given a clearance to taxi to the fbo via victor. i was approaching the taxiway victor signage and turned left before i reached the sign. it turns out that i turned on what i believe is now taxiway whiskey which the nos chart shows as runway 11/29. this is now a new taxiway which parallels victor. the chart needs to be updated. the yellow line turns left onto whiskey. i was confused as i had apparently already passed the sign for whiskey when i was given the clearance and thought the first taxiway to the left would have been victor. i now realize that i should have passed the taxiway sign before turning. i have brought up the idea of painting the letter of each taxiway to our runway safety action team, but this was deemed too expensive and there is apparently a paint shortage. i believe this idea would have helped me in this case at sjc where there are two parallel taxiways.",a learjet 45 pilot reported confusion and a consequent taxiway incursion onto taxiway whisky when cleared via victor at sjc.
18,"upon takeoff from runway 23 i had a gradual loss of engine power beginning at about 300 ft. my first thought was that i was experiencing fuel starvation, so i confirmed that the fuel cutoff valve was still in the open position and that the throttle and mixture were still full forward. i then executed a steep 180 degree turn to the left and landed on the flat ground in front of the new, still unopened atc tower, about 250 ft from runway 23.     the landing was uneventful, with no injuries to myself and no damage to the aircraft. the engine, which was still turning over slowly, died after the plane came to a stop. after about a minute, i attempted a restart, and the engine started immediately. i taxied across the flat ground until i could get onto runway 23 to cross it to the taxiway, and then returned to the tie down area to determine what to do next.    prior to this incident i had flown in from my home base and parked the plane near the avionics shop for reinstallation of a radio that they had cleaned and retuned. i returned to the plane about an hour later. i did not sump the fuel tanks and lines at that time because i had done that prior to the inbound flight. i taxied to runway 23 and did a run-up, which was normal. my engine analyzer showed normal temperatures during the run-up.    after the incident, i did several run-ups to 2400 rpm, but there was no sign of what caused the engine loss. i checked under the cowling but everything was in place. i sumped the fuel tanks and lines, but found no contaminants. i then asked the service manager at the fbo to have a mechanic check the plane.    after a few hours, the service manager told me that two mechanics with long experience in general aviation had given the plane a close inspection, including a compression check of the engine and a complete review of the fuel system. the only discrepancy they had found was a mud dauber nest well inside the fuel vent tube under the left wing. they cleared the obstruction and checked to see that the engine was running correctly.    once the plane was returned to me, i did a normal run-up and departed. the return flight was uneventful.    a blockage of the vent tube would explain the gradual decrease in engine power, especially since the engine was drawing maximum fuel for takeoff at full throttle, mixture rich and the nose was at a steep angle upward. i thought that the vents in the fuel tank caps were supposed to ensure fuel flow if the vent tube became blocked, but this does not appear to be the case. they may have been designed only to keep the fuel tanks from crumbling if a vacuum built up inside. if so, a fuel vent tube blockage represents a single point of failure.    i later looked for more information about mud daubers to see if they can build a nest in less than an hour and in what season they are active. i plan to get a pipe cleaner or wire to poke into the vent tube during preflight to check for blockage. i may also use some lightweight screening material to make a vent tube cover for while the plane is on the ground.    i cannot say for certain why it came into my mind to return to the airfield for landing. i knew that i had a large expanse of flat open ground to my left as i was taking off, and i rolled out of the steep left turn after 180 degrees, not the 270 degrees i would have needed to make it to the runway. although i did not consciously choose the open ground as a landing spot, i accepted it as a suitable place as i rolled out of the turn.    i may have stalled the plane during the turn, because i found after i came out of the turn that i was in a dive, had pulled the yoke back to its rear stop, and had no elevator effectiveness. the ailerons, however, had remained effective enough for me to end the turn. while i was thinking about what to do to recover from the dive - keep the yoke back or push it forward - the elevator began to take effect and the plane leveled off. my decision to turn back was influenced in part by my reading a recommendation to perform a steep turn if turning back and by my having practiced steep turns because of this recommendation. i imagine that if i had practiced lowering the nose and looking ahead for a landing place, i might have done that.",when his engine started to lose power shortly after takeoff the pilot of a c-152 elected to attempt to turn back to the runway but was unable to do so and landed on flat ground still on the airport proper.
19,"i changed my squawk to vfr and changed to ctaf, reporting 10 miles out and then reporting left downwind for runway 20. there was a learjet on the frequency approaching from the west, subsequently reporting right base for runway 20. a helicopter, not landing at the airport, reported west of the airport and transiting the area. i picked up the lear visually and extended my downwind slightly in order to follow it to the runway. i reported such over the unicom frequency. i thought that the helicopter had reported both the lear and myself in sight and wrongly assumed that he would cross the airport clear of the traffic pattern. although i was searching for the helicopter, i did not see it.     when i was about 300-400 agl and established on final my passenger saw the helicopter low and to our right and pointed it out to me at which time i pulled up hard to go above the helicopter. without the evasive action we would have passed very close. i made a radio call announcing that i was maneuvering to avoid the helicopter. the helicopter announced on the radio that he had me in sight. the helicopter pilot had chosen a very bad location to cross the final approach course. he was aware of the runway in use and that there were at least two airplanes, the lear jet and myself, approaching the airport.    although i had flight planned for this flight and realized that there was right traffic for runway 20, by the time i entered the traffic pattern i had forgotten and entered the left downwind. only three days later when i was wondering why the lear had made a \non-standard\ right base did i remember that i was the one who was non-standard when flying a \standard\ left hand pattern.","a pa32 pilot, mistakenly flying a left hand vice the published right hand pattern at an non-towered airport experienced an nmac with a helicopter on short final."
20,"i came in to relieve the r-side; he had no d-side at the time. however, the r-side was too busy to give a relief briefing. i asked if he could use the help of a d-side and he said yes. i stepped in on the d-side to help out, but was never given a real briefing. at the time a b-52 was breaking off from his flight with his partner who was refueling. the b-52 was requesting the local moa. the airspace was scheduled to be active on the hour. the r-side asked me to coordinate the use of the airspace and make the airspace active right then, and also request the moa to be active on the hour since it wasn't scheduled until then. i called the surrounding sectors and got the airspace, at the same time i was trying to update the b-52's flight plan so that he was routed into the airspace and so that he had a delay in the flight plan. around 10 past the hour an adjacent sector called to ask if subject area was active. i replied that it was, and at that moment realized that during the confusion i neglected to coordinate the use of the airspace with them. i would dare say that most, if not all controllers, have done like i did and just stepped in on the d-side to help out without receiving a proper briefing. i also know that i will no longer do that, and i will be sure to receive a proper briefing before doing any coordination or any other control function.",enroute controller described an airspace infraction event alleging a hurried attempt to help a r-side controller by assisting at the d-side without a proper briefing caused the event.
21,"i had just taken the local control position when a pa44 called me about 7 miles west of the airport declaring an emergency due to an engine out. i immediately began asking him what runway he wanted and he stated runway xxr and i cleared him to land. during this time, i was also communicating with the cic who immediately began calling the fire department and airport authority about the situation. the pa44 was heading towards an ifr inbound and numerous aircraft that was in the pattern on runway xxl so i was coordinating with the cic and the pa44 as i could. i moved the ifr and 2 of the pattern traffic out of his way. during all of the confusion, i believe i forgot to give the aircraft winds and altimeter or just not the altimeter. i was doing what i could do to get the aircraft to the airport as quickly as possible but the distractions coming from the cic position as well because of the need for souls and fuel on board made me forget to give pertinent data to the aircraft. he landed safely and then taxied out for departure. go figure. the weather was clear and severe vfr so weather was not an issue. i needed to stay focused on the situation at hand and worked the emergency and the other aircraft before getting into a discussion with the cic about other data.  ",tower controller described an emergency event when he/she may have failed to provide wind/altimeter information due to required coordination efforts.
